,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Doors,Mileage_km
0,13328,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005 km,6.0,Automatic,4x4,Left wheel,Silver,12,4,186005.0
1,16621,1018,CHEVROLET,Equinox,2011,Jeep,No,Petrol,3,192000 km,6.0,Tiptronic,4x4,Left wheel,Black,8,4,192000.0
2,8467,-,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,200000 km,4.0,Variator,Front,Right-hand drive,Black,2,4,200000.0
3,3607,862,FORD,Escape,2011,Jeep,Yes,Hybrid,2.5,168966 km,4.0,Automatic,4x4,Left wheel,White,0,4,168966.0
4,11726,446,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.3,91901 km,4.0,Automatic,Front,Left wheel,Silver,4,4,91901.0
5,39493,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,160931 km,4.0,Automatic,Front,Left wheel,White,4,4,160931.0
6,1803,761,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,258909 km,4.0,Automatic,Front,Left wheel,White,12,4,258909.0
7,549,751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,216118 km,4.0,Automatic,Front,Left wheel,Grey,12,4,216118.0
8,1098,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069 km,4.0,Automatic,Front,Left wheel,Black,12,4,398069.0
9,26657,-,LEXUS,RX 350,2007,Jeep,Yes,Petrol,3.5,128500 km,6.0,Automatic,4x4,Left wheel,Silver,12,4,128500.0
10,941,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,184467 km,6.0,Automatic,Rear,Left wheel,White,12,4,184467.0
11,8781,-,FORD,Transit,1999,Microbus,No,CNG,4,0 km,8.0,Manual,Rear,Left wheel,Blue,0,2,
12,3000,-,OPEL,Vectra,1997,Goods wagon,No,CNG,1.6,350000 km,4.0,Manual,Front,Left wheel,White,4,4,350000.0
13,1019,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038 km,6.0,Automatic,Front,Left wheel,White,12,4,138038.0
14,59464,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,76000 km,4.0,Automatic,Front,Left wheel,White,4,4,76000.0
15,549,1079,TOYOTA,CHR,2018,Jeep,Yes,Petrol,2,74146 km,4.0,Automatic,Front,Left wheel,White,12,4,74146.0
16,7683,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840 km,4.0,Automatic,Front,Left wheel,Blue,12,4,121840.0
17,28382,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,54317 km,4.0,Automatic,Front,Left wheel,White,4,4,54317.0
18,549,2386,HYUNDAI,Sonata,2006,Sedan,Yes,Petrol,3.3,295059 km,6.0,Automatic,Rear,Left wheel,Blue,12,4,295059.0
19,941,1850,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.5,364523 km,6.0,Automatic,4x4,Left wheel,Black,12,4,364523.0
20,18826,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645 km,4.0,Automatic,Front,Left wheel,Silver,4,4,112645.0
21,20698,586,TOYOTA,Prius,2012,Sedan,Yes,Plug-in Hybrid,1.8,187000 km,4.0,Automatic,Front,Left wheel,White,12,4,187000.0
22,17562,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,39709 km,4.0,Automatic,Front,Left wheel,Black,12,4,39709.0
23,7840,-,FORD,Transit,2001,Microbus,No,Diesel,2.0 Turbo,230000 km,4.0,Manual,Front,Left wheel,White,0,2,230000.0
24,4704,-,OPEL,Vectra,1995,Sedan,No,Petrol,1.8,0 km,4.0,Automatic,Front,Left wheel,Green,4,4,
25,20385,-,MERCEDES-BENZ,E 220,2006,Sedan,Yes,Diesel,2.2 Turbo,210000 km,4.0,Tiptronic,Rear,Left wheel,Black,8,4,210000.0
26,549,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,0 km,8.0,Automatic,4x4,Left wheel,White,0,4,
27,30,-,TOYOTA,Prius,2008,Sedan,No,Hybrid,1.5,169000 km,4.0,Automatic,Front,Left wheel,White,8,4,169000.0
28,14454,583,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,158787 km,4.0,Automatic,Front,Left wheel,Silver,4,4,158787.0
29,12074,1537,TOYOTA,Highlander,2009,Jeep,Yes,Hybrid,3.3,420550 km,6.0,Automatic,4x4,Left wheel,Blue,12,4,420550.0
30,15681,1288,MERCEDES-BENZ,Vito,2007,Goods wagon,No,Diesel,2.0 Turbo,180000 km,6.0,Manual,Rear,Left wheel,White,4,4,180000.0
31,19444,915,PORSCHE,Cayenne,2014,Jeep,Yes,Diesel,3,175056 km,6.0,Automatic,4x4,Left wheel,White,12,4,175056.0
32,6899,-,BMW,X5,2000,Jeep,Yes,CNG,4.4,200000 km,8.0,Automatic,4x4,Left wheel,Silver,6,4,200000.0
33,125,1750,TOYOTA,Highlander,2008,Sedan,Yes,Hybrid,3.3,287274 km,6.0,Automatic,4x4,Left wheel,White,12,4,287274.0
34,24462,-,JEEP,Grand Cherokee,2007,Jeep,Yes,Diesel,3.0 Turbo,250000 km,6.0,Tiptronic,4x4,Left wheel,Black,10,4,250000.0
35,23235,707,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2,162000 km,4.0,Automatic,Front,Left wheel,Grey,4,4,162000.0
36,51746,1077,TOYOTA,CHR Limited,2019,Jeep,No,Petrol,2,10200 km,4.0,Tiptronic,Front,Left wheel,Red,12,4,10200.0
37,7527,1486,HONDA,FIT,2010,Hatchback,No,Hybrid,1.3,158000 km,4.0,Automatic,Front,Right-hand drive,Black,4,4,158000.0
38,19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,103490 km,4.0,Automatic,Front,Left wheel,Silver,4,4,103490.0
39,314,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,382746 km,6.0,Automatic,4x4,Left wheel,Silver,12,4,382746.0
40,24462,751,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.4,203200 km,4.0,Automatic,Front,Left wheel,Blue,4,4,203200.0
41,45734,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,61057 km,4.0,Automatic,Front,Left wheel,Black,4,4,61057.0
42,20165,650,VOLKSWAGEN,Jetta,2016,Sedan,Yes,Petrol,1.4 Turbo,11200 km,4.0,Tiptronic,Front,Left wheel,Black,8,4,11200.0
43,21326,382,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,141000 km,4.0,Tiptronic,Front,Left wheel,White,12,4,141000.0
44,549,1436,PORSCHE,Cayenne,2010,Jeep,Yes,Petrol,3.6,160259 km,6.0,Automatic,4x4,Left wheel,Silver,12,4,160259.0
45,220,1194,TOYOTA,Tacoma,2013,Jeep,Yes,Petrol,4,239342 km,6.0,Automatic,4x4,Left wheel,Silver,12,4,239342.0
46,15681,503,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,128000 km,4.0,Variator,Front,Left wheel,Sky blue,8,4,128000.0
47,55390,1017,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2,100734 km,4.0,Automatic,Front,Left wheel,Black,4,4,100734.0
48,12544,-,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,1.5,141500 km,4.0,Automatic,Front,Right-hand drive,Black,8,4,141500.0
49,17249,-,FORD,Escape Hybrid,2008,Jeep,No,Hybrid,2.3,147000 km,4.0,Variator,4x4,Left wheel,White,8,4,147000.0
50,34889,891,HONDA,Civic,2016,Sedan,Yes,Petrol,2,87768 km,4.0,Automatic,Front,Left wheel,Blue,4,4,87768.0
51,862,1104,AUDI,Q7,2015,Jeep,Yes,Petrol,3,264014 km,6.0,Automatic,4x4,Left wheel,Black,0,4,264014.0
52,14583,-,RENAULT,Megane 1.5CDI,2008,Sedan,No,Diesel,1.5 Turbo,132542 km,4.0,Manual,Front,Left wheel,White,10,4,132542.0
53,392,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,1600 km,4.0,Automatic,Rear,Left wheel,Black,12,4,1600.0
54,38500,639,AUDI,Q5,2014,Jeep,Yes,Petrol,2,87000 km,1.0,Tiptronic,4x4,Left wheel,White,12,4,87000.0
55,8781,-,MERCEDES-BENZ,C 180,2001,Coupe,No,Petrol,2,260000 km,4.0,Manual,Rear,Left wheel,Blue,0,2,260000.0
56,87112,-,MERCEDES-BENZ,GLA 250,2019,Jeep,Yes,Petrol,2.0 Turbo,5323 km,4.0,Tiptronic,4x4,Left wheel,Grey,0,4,5323.0
57,1411,629,NISSAN,Juke,2015,Jeep,Yes,Petrol,1.6,87112 km,4.0,Automatic,4x4,Left wheel,Black,0,4,87112.0
58,392,919,BMW,535,2012,Sedan,Yes,Petrol,3,204318 km,6.0,Automatic,Rear,Left wheel,Black,12,4,204318.0
59,23521,781,CHEVROLET,Cruze LT,2018,Sedan,No,Petrol,1.4 Turbo,22000 km,4.0,Automatic,Front,Left wheel,Red,6,4,22000.0
60,16935,530,FORD,Fusion,2013,Sedan,No,Petrol,1.6 Turbo,83000 km,4.0,Tiptronic,Front,Left wheel,Silver,8,4,83000.0
61,10349,-,TOYOTA,VOXY,2007,Minivan,Yes,Petrol,2.4,170000 km,4.0,Automatic,Front,Right-hand drive,Black,6,4,170000.0
62,7213,530,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,312118 km,4.0,Automatic,Front,Left wheel,Black,0,4,312118.0
63,5331,-,MERCEDES-BENZ,A 160,2004,Sedan,No,Petrol,1.6,130000 km,4.0,Tiptronic,Front,Left wheel,Black,6,4,130000.0
64,20526,640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2,200279 km,4.0,Automatic,Front,Left wheel,Grey,4,4,200279.0
65,9722,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,719847 km,4.0,Automatic,Front,Left wheel,Orange,4,4,719847.0
66,34657,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672 km,4.0,Automatic,Front,Left wheel,Silver,4,4,154672.0
67,36564,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969 km,4.0,Automatic,Front,Left wheel,Black,4,4,110969.0
